인물,대사,연출,
미호%3%4,(걱정거리가 많은 표정),0,0
나비%2%0,... (보다 못해),0,2%1
나비%3%0,맑?(무슨 일이시죠. 미호 양?),0,2%1
미호%0%0,(한숨 팍!),0,0
미호%0%0,나비 씨. 내가 좀 살면서 쌓아온 업보가 많잖아요.,0,0
나비%4%0,먀. <i>(그렇기는 하죠.)</i>,0,0
미호%0%0,하지만 그것 가지고 계속 날 무시하는 건 좀 아니지 않나요?!,0,0
나비%0%0,...,0,0
미호%0%0,알아요. 하지만…,0,0
미호%0%0,정말로 저는 더 이상 사람을 유혹해서 간을 빼먹지도 않는다고요?,0,0
미호%0%0,오히려 인간들을 피한다니까요?,0,0
미호%0%0,직장 생활에서 죽은 인간 혼이랑 저승사자들에게 워낙 시달려서\n이젠 인간 형태를 한 것들은 보기만 해도 질려요!,0,0
미호%0%0,…누군가를 만나 친하게 지내고 싶어도\n제가 구미호라는 걸 알면 무서워서 달아나 버리고...,0,0
미호%0%0,유일하게 무서워하지 않는 ‘이 승’이라는 저승사자는\n나를 무슨 돌보듯이 하고…(훌쩍),0,0
나비%0%0,...,0,0
미호%0%0,음?,0,0
미호%0%0,나비의 스페셜 음료?,0,0
나비%0%0,(끄덕끄덕),0,0
미호%0%0,메뉴에 없는 주문이라도. \n바리스타 나비가 당신만을 위한 음료를 만들어 드립니다…',0,0
미호%0%0,어머. 이거 지금 위로예요?,0,0
나비%0%0,...,0,0
미호%0%0,아닌 척 하긴~,0,0
미호%0%0,그럼 저는 동백 에이드로 부탁할게요!,-2,0
