인물,대사,연출,
나비%0%0,<i>감귤 주스 나왔습니다.</i>,0,0
이 승%0%0,...\n(감귤주스를 한참 보더니 원 샷을 때린다.),0,0
나비%4%9,(적잖지 않게 당황한 나비)\n?!?!?!?!?!?,0,2%5
이 승%0%1,...맛있군. 더 없나?,0,0
나비%4%0,(당황해하는 표정을 지으면서도 슥하고 감귤주스를 넘겨준다.)\n<i>네...여기요.</i>,0,2%1
이 승%1%0,(또다시 원샷을 때린다.)\n한잔 더.,0,0
나비%4%9,(조금 경악한 나비.)\n…카페에 감귤을 가는 블렌더 소리가 울려퍼진다.,0,0
나비%0%0,(카페에 감귤을 가는 블렌더 소리가 울려퍼진다.),11,0
이 승%0%0,…,0,1%3
나비%4%0,(조금 걱정스러운 톤)\n<i>손님...괜찮으세요?</i>,0,1%3
나비%4%0,<i>(무슨 주스를 술 같이...)</i>,0,1%3
이 승%1%7,...바리스타 나비였나..,0,1%3
이 승%1%0,미호 양이 그러더군. 당신이 그렇게 이야기를 잘 들어준다고.,0,1%3
나비%4%0,(조금 곤란한 표정으로)\n<i>끄응...미호양...</i>,0,2%1
이 승%0%0,들을 만한 이야기는 아니지만\n내 이야기를 해도 되겠나?,0,0
나비%0%4,...(한숨 팍)\n<i>손님은 사연이 있는 것 같으니 특별히 들어주도록 하죠.</i>,0,0
이 승%5%0,(살짝 피식 웃는다.)\n...그런가.,0,0
이 승%0%0,유감이군. 그 아이는 감귤주스를 워낙 좋아해서\n이곳의 주스도 참으로 좋아할 텐데 말이야.,0,0
이 승%0%0,…,11,0
이 승%0%0,우리 가족은 빈곤했어.,11,0
이 승%0%0,아버지는 내 기억 끝자락에서만 존재하고.\n내 일생 쭉 안 계셨지.,11,0
이 승%0%0,보나. 마나 어머니. 나와 동생을 버리고\n어딘가로 사라지신 거겠지만.,11,0
나비%0%0,…,11,0
이 승%0%0,어머니는 나와 내 동생을 먹여 살리기 위해서 죽도록 일하셨어.\n정말로 좋은 분이셨지.,11,0
이 승%0%0,안타깝게도. 어린 우릴 두고 돌아가셨지만 말이야.,11,0
이 승%0%0,그래서 나와 내 동생은 어린 나이때부터\n열악한 환경에서 일할 수 밖에 없었어.,11,1%4
이 승%0%0,당시에는 어린 꼬맹이도 공장에서 일할 수 있던 시대라\n우리 둘은 먹고 살기 위해서 제 발로 걸어들어갔지.,11,1%4
이 승%0%0,(표정이 구겼다가 감귤 주스를 또 마신다.),11,1%4
이 승%0%0,감귤 주스 말이야. ,11,1%4
나비%0%0,<i>네?</i>,11,1%4
이 승%0%0,(작게 웃는다.) 동생과 내가 일하던 공장 앞에\n감귤로 주스를 즉석으로 만들어주던 곳이 있었어.,11,1%4
이 승%0%0,몇 푼 안 되는 그 쥬스를 마시는 것 또한 우리에게 사치였지만.,11,1%4
이 승%0%0,가끔 일이 끝나면 그 곳으로 달려가 동생과 사 마시던 게\n우리 남매에겐 소소한 행복이었어.,11,1%4
이 승%0%0,(무뚝뚝한 얼굴은 이 순간만은 환한 추억의 미소로 바뀐다.),11,0
