인물,대사,연출,
숨비%6%0,(신기한 것들이 눈에 보여서 무척이나 놀란 표정.),0,0
나비%0%0,...,0,0
숨비%6%0,(이리저리 쳐다봄.),0,0
나비%0%0,먀.\n(손님. 찾으시는 게 있나요?),0,0
숨비%4%9,엄마야..! 깜짝이야…!,0,2%5
숨비%4%0,인형인가?,0,0
나비%4%0,…(조금 당황한 표정),0,0
나비%4%0,먘.\n<i>(나비라고 합니다.)</i>,0,0
숨비%4%9,(숨비의 표정이 놀람에서 더욱 놀람으로 바뀜.)캬악-!,0,0
숨비%6%0,이...인형이 아니었어?!,0,0
나비%4%7,(귀를 막고선 조금 모욕당한 표정)…!?!?,0,0
나비%1%0,왜앵. 애애옹<i>(저기요. 어엿한 고양이입니다만.)</i>,0,0
숨비%4%7,으아아아아아- !\n내가 고양이의 말을 알아듣고 있어!,0,0
나비%0%0,(유심하게 숨비를 보더니.),0,0
나비%0%0,<i>그러고 보니 손님분은 인간이시군요.</i>,0,0
나비%2%0,<i>그럼 소개하겠습니다.</i>,0,1%8
나비%5%0,<i>이곳은 귀신. 혹은 괴물과 같은 자들이 머물고 가는 ‘푸른밤 카페‘입니다. \n그리고 저는 이곳의 주인공 나비예요.</i>,0,1%8
숨비%6%9,(놀란 표정),0,1%8
나비%2%6,(조금 멋져 보였다?)\n(우쭐한 표정),0,0
숨비%4%0,(무서워하는 표정)\n귀…귀신이랑 괴물요…?!,0,0
나비%0%0,<i>…저런…무서워하는 쪽이었군.</i>,0,0
숨비%1%7,(나비의 말이 전혀 들리지 않는 듯)으아아….\n안돼애…나..나 죽은 거 아니죠?!,0,1%9
나비%4%0,(당황하며)<i>어…어이. 아니에요.\n우선 진정해 보시라고요.</i>,0,1%9
숨비%4%7,으아아아아아아아-!,0,1%9
숨비%4%7,안 돼요!\n난 아직 일도 못 끝내고 포장도 다 못했는데…!,0,1%9
나비%4%0,(다시 귀를 막는다.)\n<i>윽. 일단은 진정 시켜야겠는 걸?</i>,0,2%1
숨비%6%0,으아아아아…-아…어…?\n(눈 앞에 갑자기 메뉴판이 들이밀어지다 당황하다가 메뉴판을 집어간다.),0,0
숨비%6%2,나..비의 스페셜 음료?,0,0
나비%5%6,<i>이래봬도 저는 실력 있는 바리스타입니다.</i>,0,0
나비%0%0,<i>마시고 싶은 거 있어요?</i>,0,0
숨비%1%5,저…는 커피보다는 밀크티..를 좋아하는데…\n혹시 그런 거 없을까요?,0,0
나비%5%1,<i>그럼요.\n나비의 스페셜 음료는 어느 것이든 가능해요.</i>,0,0
나비%5%0,<i>그럼 특별한 나비 블랜드 밀크티를 만들어드릴게요. \n기대하셔도 좋아요.</i>,0,0
숨비%6%0,(조금 벙찐 표정으로)\n네…네네…!,-2,0
