인물,대사
나비,(열심히 컵을 닦고 있다가 올려다본다.)
나비,먀옹.\n<b>(오. 도깨비군요. 오랜만이네요.)</b>
허 주,어어! 나비군. 오랜만이야!\n크하핫! 잘 지냈나?
나비,평소와 같이 항상 잘 지내고 있죠.
나비,오늘은 웬일로 여기에 오셨어요?\n커피나 차보다는 술을 더 좋아하시잖아요.
허 주,오늘따라 술집에 인간들이 넘쳐나서 말이야!\n술 마시고 저번처럼 들킬뻔하면 곤란하지~
나비,(...어휴 저 술꾼.)\n그럼 오늘은 뭘 마실 건가요?
허 주,쓰읍…취할만한 거 없나?
나비,(표정을 찡그린다.)\n도깨비 씨.
허 주,"나비군, 한 번만 봐줘라."
허 주,"오늘 같은 날은 진탕 마시고 취하고 싶은데,\n인간들이 득실거리는 곳에 가기엔 좀 어렵지 않겠나."
허 주,칵테일도 만들 줄 아는 걸로 알고 있는데 어떻게 안 되겠어?
나비,(...저 도깨비도 뭔 사정이 있는 것 같군.)
나비,(한숨을 팍 쉬더니)\n…술 들어간 거면 다 되죠?
허 주,"어디, 여기서만 먹어볼 수 있는 특별한 것이면\n더 좋을지도 모르지"
허 주,하하하!
나비,"<b>까다로우셔라…</b>\n(자, 그럼, 어디 한번 녹차 칵테일을 만들어볼까?)"
,
,
,
,
,
,
,
,
,
,
,
,
