인물,대사,연출,
나비%0%0,<i>…여기 완성했습니다만…\n드려도 괜찮을지 모르겠네요.</i>,0,0
허 주%5%0,에이 참~ 괜찮아. 괜찮아.\n어? 아껴 마실게.,0,0
나비%3%4,<i>에휴…</i>\n(술을 건넨다.),0,0
허 주%6%0,(꿀꺽꿀꺽)음…?\n오…..!!!!!!! 이 맛은….!!!!!,0,0
허 주%6%9,녹차 특유의 시큼하면서도 시원한 맛! \n안에 있는 오이도 시원함에 한몫하니 2배…아니 3배의 시원함이군! ,0,0
허 주%5%0,크하하핫!!! 이거 물건이구먼. 그래!!! \n(입맛을 다시며) 나비군. 어떻게 더…안 되겠나…?,0,0
나비%0%0,(4배 아닌가…?),0,0
나비%1%6,<i>흥.누가 한 잔 더 드릴 줄 알고요?</i>,,
허 주%0%0,쩝…아쉽구먼. 그래.,0,0
허 주%2%7,에휴…\n(갑자기 조용해진다.),0,0
나비%0%0,<i>요즘 평소보다 술을 많이 찾으시던데.\n…무슨 걱정이라도 있어요?</i>,0,0
허 주%6%0,어…?어. 그 할머니의 그 고양이 아니랄까 봐. \n눈치 하난 참 빠르단 말이지.,0,0
나비%3%0,…\n(할머니 이야기에 표정이 조금 슬퍼진다.),0,0
나비%0%1,(애써 밝은 톤으로)\n<i>그럼 누구의 고양이인데요. </i>,0,0
나비%5%0,<i>그래서 한번 이야기해보세요.\n이래도 그분 닮아서 이런 거 잘 들어줍니다.</i>,0,0
허 주%5%0,참~나. 이런 거 부끄러워하던\n검은 고양이 군도 이제 다 컸어 그래!,0,0
허 주%2%5,…그래. 내 고민거리 말이지...\n너도 잘은 알고 있을 거야.,0,0
허 주%0%7,…우리 도깨비들의 터전이 줄어들었다는 것 말이지.,0,0
나비%0%0,…,0,0
허 주%0%7,나야. 힘이 강해서 여전히 어선 선장으로 일하고 있지만서도.,0,0
허 주%0%0,많은 어부들이 떠나면서 힘을 잃게 된 도깨비들이 너무 많아.,0,0
허 주%1%4,이렇게 대장 도깨비가 되어선 그들을 이끌어 주지도 못하고 있어… ,0,0
허 주%3%0,(주먹을 꽉 쥔다.)\n… 뭘 해야 할지 막막하군. ,0,0
나비%3%0,(그걸 빤히 보다가)\n<i>아저씨…</i>,0,0
나비%2%5,<i>흐음…\n혼자 고민하고 술 진탕 마시는 것보다는…</i>,0,0
나비%0%0,<i>다른 도깨비분들과 이야기하는 것이 좋지 않을까요?</i>,0,0
허 주%6%0,으응..?\n하지만…난 대장이니까…,0,0
나비%0%0,<i>대장이라도요.</i>,0,0
나비%2%0,<i>솔직히 답이 방망이처럼 뚝딱 나오면 참 좋을 테지만\n그렇게 나오는 건 어렵잖아요.</i>,0,0
나비%0%0,<i>특히 혼자서.</i>,0,0
나비%1%0,<i>그렇게 혼자 책임감 지고 힘들어하는 거 보면\n다른 도깨비들도 걱정할 거라고요.</i>,0,0
나비%2%1,<i>게다가 ‘종잇장도 맞들면 낫다’라고-</i>,0,0
나비%0%0,<i>그 도깨비들이 하고 싶은 것에 대한\n솔직한 의견을 들을 수 도 있고. </i>,0,0
나비%0%0,<i>누가 알아요.</i>,0,0
나비%5%0,<i>장난스럽고 잔머리가 많은만큼 또 어떤 방안이 나타날지.</i>,0,0
허 주%6%0,…나비군.,0,0
나비%5%0,<i>다들 친구고 가족이잖아요.\n도와주고 싶을 거예요.</i>,0,0
허 주%6%0,나비군…,0,0
나비%4%9,<i>어…?</i>,0,0
허 주%5%0,나비 군도 참 기특하게 잘 컸어!\n흐허허헝! 이렇게 멋진 말도 하고 말이야!,0,0
허 주%5%0,할머니께서 자랑스러워하실 게다! ,0,0
허 주%5%0,엉? 흐하하하!,0,0
나비%4%9,(숨…막혀..)\n<i>울..울다가 웃다가 엉덩이에 뿔나시겠어요…!</i>,0,0
허 주%4%0,콜록..!,0,0
허 주%5%0,흐하하하! 녀석 참 농담도 잘하지..!,0,0
허 주%0%0,(나비가 준 티 칵테일을 원샷한다.),0,0
허 주%5%1,그럼 난 네 말대로 다른 녀석들에게 이야기해보러 가야겠어.\n좋은 술이랑 말 고맙다. 흐하하하!!,0,0
나비%0%3,<i>안녕히 가..- </i>,0,0
나비%4%0,<i>이..미 가셨네…</i>,0,0
나비%2%0,<i>에휴. 못 말리신다니까.</i>,-1,0
